Comment,Spam
"$$$",1
"0%",1
"0% risk",1
"100%",1
"100% free",1
"100% guaranteed",1
"100% money back",1
"100% more",1
"100% satisfaction",1
"100% satisfie",1
"100% satisfied",1
"#1",1
"4U",1
"50% off",1
"777",1
"99%",1
"99.9%",1
"About",1
"Accelerate your income",1
"Acceptance",1
"Accept credit cards",1
"Access",1
"Access for free",1
"Access now",1
"Access right away",1
"Accordingly",1
"Act",1
"Act fast",1
"Act fast, limited offer",1
"Act immediately",1
"Action",1
"Action required",1
"Act now!",1
"Act now",1
"Act Now",1
"Act now, don't delay",1
"Act now! Don’t hesitate!",1
"Act now, don't miss out",1
"Act now, don't wait",1
"Act now, limited quantities",1
"Act now, limited-time offer",1
"Ad",1
"Additional income",1
"Addresses on CD",1
"Affordable",1
"Affordable deal",1
"All natural",1
"All new",1
"Amazed",1
"Amazing",1
"Amazing offer",1
"Amazing opportunity",1
"Amazing stuff",1
"Apply here",1
"Apply now!",1
"Apply now",1
"Apply NOW",1
"Apply online",1
"Apply Online",1
"As seen on",1
"At no cost",1
"Auto email removal",1
"Avoid",1
"Avoid bankruptcy",1
"Bargain",1
"Be amazed",1
"Become a member",1
"Being a member",1
"Believe me",1
"Beneficiary",1
"Best",1
"Best bargain",1
"Best deal",1
"Best deal ever",1
"Best investment",1
"Best offer",1
"Best price",1
"Best rates",1
"Best-selling",1
"Best value",1
"Best value for money",1
"Be surprised",1
"Beverage",1
"Be your own boss",1
"Big bucks",1
"Bill 1618",1
"Billing",1
"Billing address",1
"Billion",1
"Billionaire",1
"Billion dollars",1
"Bitcoin",1
"Bonus",1
"BONUS",1
"Bonus credited",1
"Boost your business",1
"Boost your credit",1
"Boost your credit score",1
"Boost your income",1
"Boost your savings",1
"Boss",1
"Brand new pager",1
"Break free",1
"Break free from debt",1
"Breakthrough",1
"Breakthrough innovation",1
"Breakthrough technology",1
"BTC",1
"Bulk email",1
"Buy",1
"Buy direct",1
"Buying judgments",1
"Buy now",1
"Buy Now",1
"Cable converter",1
"Call",1
"Call free",1
"Calling creditors",1
"Call me",1
"Call now!",1
"Call now",1
"Cancel",1
"Cancel at any time",1
"Cancellation required",1
"Cancel now",1
"Cannot be combined with any other offer",1
"Can’t live without",1
"Cards accepted",1
"Cash",1
"Cashback",1
"Cash bonus",1
"Cashcashcash",1
"Cash explosion",1
"Cashless",1
"Cash out",1
"Cash prizes",1
"Cash windfall",1
"Casino",1
"Celebrity",1
"Cell phone cancer scam",1
"Cellphone cancer scam",1
"Cents on the dollar",1
"Certified",1
"Chance",1
"Cheap",1
"Check",1
"Check credited",1
"Check or money order",1
"Claim",1
"Claim now",1
"Claims",1
"Claims not to be selling anything",1
"Claims to be in accordance with some spam law",1
"Claims to be legal",1
"Claims you are a winner",1
"Claim your discount",1
"Claim your discount NOW!",1
"Claim your prize",1
"Clearance",1
"Clearance sale",1
"Click",1
"Click below",1
"Click here",1
"Click here link",1
"Click here to find out more",1
"Click now",1
"Click to get",1
"Click to remove",1
"Click to remove mailto",1
"Collect",1
"Collect child support",1
"Compare",1
"Compare now",1
"Compare online",1
"Compare rates",1
"Compete for your business",1
"Confidential",1
"Confidentiality",1
"Confidentially on all orders",1
"Congratulations",1
"Consolidate debt",1
"Consolidate debt and credit",1
"Consolidate your debt",1
"Copy accurately",1
"Copy DVDs",1
"Cost",1
"Costs",1
"Credit",1
"Credit bureaus",1
"Credit card debt",1
"Credit card offers",1
"Cures",1
"Cures baldness",1
"Cutting-edge technology",1
"Deal",1
"Deal breaker",1
"Dear",1
"Dear email",1
"Dear friend",1
"Dear somebody",1
"Debt",1
"Diagnostics",1
"Different reply to",1
